FTeam,Player,TeamAbbr,Position,DraftRound,DraftPick,LastYearRank,ProjRank,DraftPickCost,pick_number,Upd_ProjRank,Kept
Shake n' Bake,Tyler Warren,Ind,TE,6.0,4.0,115,46.0,4.0,47.0,40.0,False
I’m Sorry Smith-Jaxon,DeVonta Smith,Phi,WR,4.0,1.0,93,26.0,2.0,24.0,21.0,False
I’m Sorry Smith-Jaxon,Caleb Williams,Chi,QB,8.0,1.0,6,72.0,6.0,80.0,69.0,False
Let Kelce Cook,Josh Downs,Ind,WR,9.0,7.0,195,88.0,7.0,90.0,81.0,False
Griddy Little Liars,Dak Prescott,Dal,QB,9.0,3.0,5,83.0,7.0,88.0,77.0,False
Griddy Little Liars,Rome Odunze,Chi,WR,6.0,10.0,166,51.0,4.0,53.0,43.0,False
Allen the Family 🦬,Dalton Kincaid,Buf,TE,10.0,7.0,200,106.0,8.0,112.0,102.0,False
