round,pick,player,FTeam,is_keeper
1,1,Ja'Marr Chase,The Hoodie,False
1,2,Bijan Robinson,Sutton Ducks,False
1,3,Justin Jefferson,Griddy Little Liars,False
1,4,Saquon Barkley,Couch Potatoes,False
1,5,Jahmyr Gibbs,Shake n' Bake,False
1,6,CeeDee Lamb,Let's Ride,False
1,7,Jonathan Taylor,Andrews Hall Pass,False
1,8,Derrick Henry,Allen the Family 🦬,False
1,9,Malik Nabers,Wherefore Art Thou Ws?,False
1,10,Christian McCaffrey,Tyreek’s Left Knee,False
1,11,Ashton Jeanty,Shake n' Bake,False
1,12,Josh Jacobs,Pukachu,False
1,13,Amon-Ra St. Brown,All Aboard the Achane,False
1,14,Drake London,Pukachu,False
2,1,Trey McBride,Pukachu,False
2,2,Josh Allen,All Aboard the Achane,False
2,3,Omarion Hampton,Pukachu,False
2,4,James Cook III,Let Kelce Cook,False
2,5,Lamar Jackson,Tyreek’s Left Knee,False
2,6,A.J. Brown,Wherefore Art Thou Ws?,False
2,7,Jalen Hurts,Allen the Family 🦬,False
2,8,Breece Hall,Andrews Hall Pass,False
2,9,Tee Higgins,Let's Ride,False
2,10,Mike Evans,Shake n' Bake,False
2,11,George Kittle,Couch Potatoes,False
2,12,Kenneth Walker III,Griddy Little Liars,True
2,13,James Conner,Sutton Ducks,False
2,14,TreVeyon Henderson,Shake n' Bake,False
3,1,Alvin Kamara,Let's Ride,False
3,2,Joe Burrow,Sutton Ducks,False
3,3,RJ Harvey,Griddy Little Liars,False
3,4,Chase Brown,Couch Potatoes,True
3,5,Marvin Harrison Jr.,Shake n' Bake,False
3,6,Tony Pollard,Let's Ride,False
3,7,Michael Pittman Jr.,Andrews Hall Pass,False
3,8,Terry McLaurin,Allen the Family 🦬,False
3,9,Tetairoa McMillan,Wherefore Art Thou Ws?,False
3,10,Tyreek Hill,Tyreek’s Left Knee,False
3,11,Isiah Pacheco,Let Kelce Cook,False
3,12,Davante Adams,All Aboard the Achane,False
3,13,Patrick Mahomes,All Aboard the Achane,False
3,14,Jaxon Smith-Njigba,I’m Sorry Smith-Jaxon,True
4,1,DeVonta Smith,I’m Sorry Smith-Jaxon,False
4,2,D'Andre Swift,Shake n' Bake,False
4,3,Jayden Daniels,Pukachu,True
4,4,Tyrone Tracy Jr.,Let Kelce Cook,False
4,5,George Pickens,Tyreek’s Left Knee,False
4,6,DK Metcalf,Shake n' Bake,False
4,7,Aaron Jones Sr.,Allen the Family 🦬,False
4,8,David Montgomery,Andrews Hall Pass,False
4,9,DJ Moore,Andrews Hall Pass,False
4,10,Jordan Mason,Shake n' Bake,False
4,11,Jaylen Waddle,Couch Potatoes,False
4,12,Emeka Egbuka,Griddy Little Liars,False
4,13,Sam LaPorta,Sutton Ducks,False
4,14,Xavier Worthy,Let's Ride,True
5,1,Zay Flowers,The Hoodie,False
5,2,Courtland Sutton,Sutton Ducks,True
5,3,Travis Hunter,Griddy Little Liars,False
5,4,Brian Thomas Jr.,Couch Potatoes,True
