FTeam,Player,TeamAbbr,Position,DraftRound,DraftPick,LastYearRank,ProjRank
Greg & Gus Drive the Bus,Allen Lazard,NYJ,WR,,,205,355
Greg & Gus Drive the Bus,Chris Boswell,Pit,K,,,69,203
Greg & Gus Drive the Bus,Tennessee,Ten,DEF,,,157,"2,184"
Greg & Gus Drive the Bus,Buffalo,Buf,DEF,12.0,11.0,66,190
Couch Potatoes,Kyler Murray,Ari,QB,13.0,2.0,11,98
Couch Potatoes,Brian Thomas Jr.,Jax,WR,7.0,2.0,32,13
Couch Potatoes,Tee Higgins,Cin,WR,4.0,13.0,74,29
Couch Potatoes,Chase Brown,Cin,RB,5.0,6.0,38,21
Couch Potatoes,Breece Hall,NYJ,RB,1.0,2.0,49,50
Couch Potatoes,Travis Kelce,KC,TE,2.0,13.0,129,82
Couch Potatoes,Jordan Addison,Min,WR,7.0,12.0,79,84
Couch Potatoes,Tyrone Tracy Jr.,NYG,RB,14.0,4.0,106,67
Couch Potatoes,Rachaad White,TB,RB,3.0,2.0,91,124
Couch Potatoes,Marvin Harrison Jr.,Ari,WR,1.0,14.0,101,37
Couch Potatoes,Jayden Reed,GB,WR,9.0,2.0,94,110
Couch Potatoes,Jaylen Warren,Pit,RB,8.0,1.0,209,75
Couch Potatoes,Harrison Butker,KC,K,12.0,6.0,224,226
Couch Potatoes,Washington,Was,DEF,,,132,298
Couch Potatoes,Houston,Hou,DEF,15.0,5.0,51,188
All Aboard the Achane,Joe Burrow,Cin,QB,5.0,11.0,2,53
All Aboard the Achane,Mike Evans,TB,WR,4.0,4.0,56,32
All Aboard the Achane,Terry McLaurin,Was,WR,4.0,5.0,39,36
All Aboard the Achane,De'Von Achane,Mia,RB,7.0,6.0,25,20
All Aboard the Achane,Jonathan Taylor,Ind,RB,2.0,7.0,34,19
All Aboard the Achane,Chig Okonkwo,Ten,TE,,,244,144
All Aboard the Achane,Jahmyr Gibbs,Det,RB,1.0,11.0,13,4
All Aboard the Achane,T.J. Hockenson,Min,TE,11.0,2.0,283,73
All Aboard the Achane,Travis Etienne Jr.,Jax,RB,5.0,10.0,193,96
All Aboard the Achane,George Pickens,Dal,WR,4.0,9.0,153,47
All Aboard the Achane,Raheem Blackshear,Car,RB,,,502,"2,917"
All Aboard the Achane,Will Reichard,Min,K,,,158,301
All Aboard the Achane,Indianapolis,Ind,DEF,,,137,388
All Aboard the Achane,New Orleans,NO,DEF,13.0,14.0,131,372
All Aboard the Achane,Miami,Mia,DEF,13.0,7.0,135,302
Pukachu,Jayden Daniels,Was,QB,6.0,12.0,5,30
Pukachu,Puka Nacua,LAR,WR,10.0,7.0,99,16
Pukachu,Ladd McConkey,LAC,WR,7.0,5.0,60,22
Pukachu,Rhamondre Stevenson,NE,RB,4.0,10.0,110,116
Pukachu,Isaac Guerendo,SF,RB,,,247,180
Pukachu,Sam LaPorta,Det,TE,7.0,8.0,133,68
Pukachu,DeVonta Smith,Phi,WR,4.0,1.0,102,45
Pukachu,Tank Bigsby,Jax,RB,13.0,12.0,166,101
Pukachu,Aaron Rodgers,Pit,QB,15.0,10.0,17,198
Pukachu,Mark Andrews,Bal,TE,4.0,7.0,108,79
Pukachu,Trey Benson,Ari,RB,8.0,7.0,336,137
Pukachu,Romeo Doubs,GB,WR,9.0,10.0,198,178
Pukachu,Tyler Bass,Buf,K,,,144,239
Pukachu,Green Bay,GB,DEF,,,46,220
Let's Ride,Caleb Williams,Chi,QB,6.0,10.0,21,103
Let's Ride,Rome Odunze,Chi,WR,5.0,14.0,175,63
Let's Ride,Tank Dell,Hou,WR,12.0,1.0,184,352
Let's Ride,Javonte Williams,Dal,RB,5.0,5.0,155,112
Let's Ride,Audric Estime,Phi,RB,15.0,8.0,331,"2,635"
Let's Ride,Brock Bowers,LV,TE,7.0,14.0,53,23
Let's Ride,Xavier Worthy,KC,WR,6.0,1.0,115,51
Let's Ride,Patrick Taylor Jr.,SF,RB,,,383,"2,618"
Let's Ride,Parker Washington,Jax,WR,,,257,320
Let's Ride,Cam Akers,NO,RB,15.0,12.0,248,"2,160"
Let's Ride,Alexander Mattison,Mia,RB,,,171,359
Let's Ride,Cedric Tillman,Cle,WR,,,285,149
Let's Ride,Brandon McManus,GB,K,,,220,363
Let's Ride,Cincinnati,Cin,DEF,12.0,13.0,121,373
Let's Ride,Kansas City,KC,DEF,12.0,5.0,104,173
Purdy Fly For A Najee Warrior,Brock Purdy,SF,QB,8.0,3.0,20,86
Purdy Fly For A Najee Warrior,Davante Adams,LAR,WR,1.0,12.0,61,43
Purdy Fly For A Najee Warrior,Keenan Allen,LAC,WR,7.0,3.0,125,140
Purdy Fly For A Najee Warrior,Jerome Ford,Cle,RB,6.0,7.0,181,123
Purdy Fly For A Najee Warrior,Tony Pollard,Ten,RB,5.0,12.0,81,54
Purdy Fly For A Najee Warrior,Jake Ferguson,Dal,TE,6.0,3.0,268,115
Purdy Fly For A Najee Warrior,Deebo Samuel,Was,WR,2.0,3.0,161,94
Purdy Fly For A Najee Warrior,Kenneth Walker III,Sea,RB,4.0,3.0,113,38
Purdy Fly For A Najee Warrior,Jerry Jeudy,Cle,WR,11.0,12.0,65,81
Purdy Fly For A Najee Warrior,Najee Harris,LAC,RB,3.0,12.0,73,155
Purdy Fly For A Najee Warrior,Justin Herbert,LAC,QB,10.0,3.0,15,105
Purdy Fly For A Najee Warrior,Adonai Mitchell,Ind,WR,9.0,12.0,341,247
Purdy Fly For A Najee Warrior,Gus Edwards,LAC,RB,9.0,4.0,290,378
Purdy Fly For A Najee Warrior,Ka'imi Fairbairn,Hou,K,14.0,3.0,95,201
Purdy Fly For A Najee Warrior,Seattle,Sea,DEF,,,72,197
Kirk’s Cousin's,Sam Darnold,Sea,QB,,,7,222
Kirk’s Cousin's,Jaylen Waddle,Mia,WR,2.0,9.0,169,48
Kirk’s Cousin's,Darnell Mooney,Atl,WR,15.0,11.0,109,130
Kirk’s Cousin's,Aaron Jones Sr.,Min,RB,3.0,11.0,47,70
Kirk’s Cousin's,Tyjae Spears,Ten,RB,6.0,6.0,221,131
Kirk’s Cousin's,Cole Kmet,Chi,TE,13.0,11.0,226,286
Kirk’s Cousin's,Evan Engram,Den,TE,6.0,4.0,284,92
Kirk’s Cousin's,Rashod Bateman,Bal,WR,,,118,126
Kirk’s Cousin's,Courtland Sutton,Den,WR,7.0,11.0,58,59
Kirk’s Cousin's,Blake Corum,LAR,RB,8.0,4.0,373,179
Kirk’s Cousin's,Kirk Cousins,Atl,QB,10.0,4.0,50,361
Kirk’s Cousin's,Rashee Rice,KC,WR,9.0,6.0,308,74
Kirk’s Cousin's,Zack Moss,Cin,RB,6.0,5.0,274,356
Kirk’s Cousin's,Brandon Aubrey,Dal,K,12.0,4.0,70,181
Kirk’s Cousin's,San Francisco,SF,DEF,9.0,11.0,164,253
Kyrenning Up That Hill,Baker Mayfield,TB,QB,,,3,90
Kyrenning Up That Hill,Justin Jefferson,Min,WR,1.0,8.0,24,6
Kyrenning Up That Hill,Amon-Ra St. Brown,Det,WR,1.0,6.0,26,8
Kyrenning Up That Hill,Saquon Barkley,Phi,RB,1.0,9.0,12,3
Kyrenning Up That Hill,Kyren Williams,LAR,RB,13.0,9.0,28,27
Kyrenning Up That Hill,Trey McBride,Ari,TE,3.0,9.0,67,24
Kyrenning Up That Hill,Jaxon Smith-Njigba,Sea,WR,5.0,9.0,57,33
Kyrenning Up That Hill,Jauan Jennings,SF,WR,,,93,93
Kyrenning Up That Hill,David Montgomery,Det,RB,4.0,6.0,54,61
Kyrenning Up That Hill,DJ Moore,Chi,WR,2.0,8.0,71,60
Kyrenning Up That Hill,Patrick Mahomes,KC,QB,2.0,6.0,14,76
Kyrenning Up That Hill,Dalton Schultz,Hou,TE,10.0,6.0,233,230
Kyrenning Up That Hill,Tyreek Hill,Mia,WR,1.0,3.0,85,42
Kyrenning Up That Hill,Wil Lutz,Den,K,,,111,214
Kyrenning Up That Hill,Las Vegas,LV,DEF,,,173,"2,159"
Love Thy Nabers,Jordan Love,GB,QB,5.0,1.0,22,111
Love Thy Nabers,Nico Collins,Hou,WR,9.0,1.0,86,7
Love Thy Nabers,DK Metcalf,Pit,WR,2.0,14.0,112,49
Love Thy Nabers,Brian Robinson Jr.,SF,RB,7.0,1.0,123,147
Love Thy Nabers,D'Andre Swift,Chi,RB,4.0,14.0,68,64
Love Thy Nabers,Dalton Kincaid,Buf,TE,8.0,14.0,260,120
Love Thy Nabers,Jalen McMillan,TB,WR,13.0,1.0,178,314
Love Thy Nabers,Malik Nabers,NYG,WR,3.0,1.0,45,10
Love Thy Nabers,CeeDee Lamb,Dal,WR,1.0,5.0,48,5
Love Thy Nabers,Cade Otton,TB,TE,,,192,258
Love Thy Nabers,Jakobi Meyers,LV,WR,10.0,8.0,90,87
Love Thy Nabers,Ty Johnson,Buf,RB,,,255,263
Love Thy Nabers,Chase McLaughlin,TB,K,,,107,221
Love Thy Nabers,Jacksonville,Jax,DEF,,,186,"2,169"
Love Thy Nabers,Denver,Den,DEF,,,31,158
The Hoodie,Josh Allen,Buf,QB,2.0,1.0,4,28
The Hoodie,Drake London,Atl,WR,3.0,14.0,36,12
The Hoodie,Khalil Shakir,Buf,WR,7.0,10.0,134,106
The Hoodie,Derrick Henry,Bal,RB,1.0,13.0,16,11
The Hoodie,Joe Mixon,Hou,RB,3.0,3.0,41,161
The Hoodie,George Kittle,SF,TE,5.0,13.0,64,25
The Hoodie,James Conner,Ari,RB,4.0,2.0,37,44
The Hoodie,Cooper Kupp,Sea,WR,2.0,2.0,142,121
The Hoodie,Jared Goff,Det,QB,7.0,13.0,6,113
The Hoodie,Calvin Ridley,Ten,WR,11.0,5.0,97,58
The Hoodie,Ricky Pearsall,SF,WR,14.0,2.0,261,69
The Hoodie,Justin Tucker,Bal,K,12.0,2.0,143,257
The Hoodie,Nick Folk,NYJ,K,,,200,387
The Hoodie,Detroit,Det,DEF,,,88,186
The Hoodie,Atlanta,Atl,DEF,,,124,"2,141"
The Mostert Mash,Geno Smith,LV,QB,,,19,145
The Mostert Mash,Garrett Wilson,NYJ,WR,9.0,7.0,59,39
The Mostert Mash,Ja'Marr Chase,Cin,WR,1.0,7.0,10,1
The Mostert Mash,Rico Dowdle,Car,RB,7.0,7.0,84,157
The Mostert Mash,Justice Hill,Bal,RB,,,206,272
The Mostert Mash,Tucker Kraft,GB,TE,,,149,85
The Mostert Mash,Michael Pittman Jr.,Ind,WR,4.0,8.0,156,114
The Mostert Mash,Quentin Johnston,LAC,WR,,,128,236
The Mostert Mash,Alvin Kamara,NO,RB,3.0,7.0,35,41
The Mostert Mash,Jameis Winston,NYG,QB,,,116,"2,376"
The Mostert Mash,Braelon Allen,NYJ,RB,13.0,4.0,265,89
The Mostert Mash,Nick Westbrook-Ikhine,Mia,WR,,,170,321
The Mostert Mash,Jordan Mason,Min,RB,11.0,7.0,196,71
The Mostert Mash,Cameron Dicker,LAC,K,,,87,193
The Mostert Mash,Los Angeles,LAC,DEF,,,75,187
Wherefore Art Thou Ws?,Joe Flacco,Cle,QB,,,168,318
Wherefore Art Thou Ws?,A.J. Brown,Phi,WR,1.0,10.0,77,18
Wherefore Art Thou Ws?,Amari Cooper,LV,WR,3.0,10.0,216,250
Wherefore Art Thou Ws?,Isiah Pacheco,KC,RB,3.0,5.0,314,65
Wherefore Art Thou Ws?,Ray Davis,Buf,RB,12.0,10.0,204,138
Wherefore Art Thou Ws?,Hunter Henry,NE,TE,,,190,134
Wherefore Art Thou Ws?,James Cook,Buf,RB,2.0,12.0,30,34
Wherefore Art Thou Ws?,Jalen Hurts,Phi,QB,2.0,5.0,9,35
Wherefore Art Thou Ws?,Chuba Hubbard,Car,RB,8.0,5.0,43,40
Wherefore Art Thou Ws?,Kareem Hunt,KC,RB,,,138,261
Wherefore Art Thou Ws?,Jonathon Brooks,Car,RB,6.0,9.0,518,"2,722"
Wherefore Art Thou Ws?,Chris Olave,NO,WR,2.0,10.0,293,66
Wherefore Art Thou Ws?,Calvin Austin III,Pit,WR,,,215,279
Wherefore Art Thou Ws?,Jason Myers,Sea,K,,,150,285
Wherefore Art Thou Ws?,Minnesota,Min,DEF,,,33,172
Yard Sale…”Everything Must Go”,Tua Tagovailoa,Mia,QB,10.0,9.0,44,152
Yard Sale…”Everything Must Go”,DeAndre Hopkins,Bal,WR,8.0,6.0,172,243
Yard Sale…”Everything Must Go”,Josh Downs,Ind,WR,11.0,3.0,127,107
Yard Sale…”Everything Must Go”,Bucky Irving,TB,RB,12.0,12.0,42,17
Yard Sale…”Everything Must Go”,Zach Charbonnet,Sea,RB,9.0,5.0,100,78
Yard Sale…”Everything Must Go”,Pat Freiermuth,Pit,TE,8.0,12.0,152,228
Yard Sale…”Everything Must Go”,Marvin Mims Jr.,Den,WR,13.0,3.0,194,154
Yard Sale…”Everything Must Go”,Tyler Allgeier,Atl,RB,11.0,9.0,219,146
Yard Sale…”Everything Must Go”,Dontayvion Wicks,GB,WR,10.0,1.0,234,276
Yard Sale…”Everything Must Go”,J.K. Dobbins,Den,RB,9.0,3.0,89,80
Yard Sale…”Everything Must Go”,Bo Nix,Den,QB,14.0,1.0,8,83
Yard Sale…”Everything Must Go”,Bryce Young,Car,QB,14.0,9.0,40,136
Yard Sale…”Everything Must Go”,Ja'Lynn Polk,NE,WR,10.0,12.0,390,"2,786"
Yard Sale…”Everything Must Go”,Cairo Santos,Chi,K,,,202,"2,154"
Yard Sale…”Everything Must Go”,Philadelphia,Phi,DEF,15.0,3.0,62,165
