FTeam,Player,TeamAbbr,Position,DraftRound,DraftPick,LastYearRank,ProjRank
The Talented(ish) Mr. Ridley,Anthony Richardson Sr.,Ind,QB,3.0,8.0,82,289
The Talented(ish) Mr. Ridley,Adam Thielen,Min,WR,,,180,191
The Talented(ish) Mr. Ridley,Elijah Moore,Buf,WR,,,239,325
The Talented(ish) Mr. Ridley,Kimani Vidal,LAC,RB,11.0,13.0,372,"2,745"
The Talented(ish) Mr. Ridley,Kendre Miller,NO,RB,13.0,8.0,391,227
The Talented(ish) Mr. Ridley,Kyle Pitts Sr.,Atl,TE,4.0,12.0,203,159
The Talented(ish) Mr. Ridley,Keon Coleman,Buf,WR,8.0,10.0,225,122
The Talented(ish) Mr. Ridley,Marquez Valdes-Scantling,SF,WR,,,267,342
The Talented(ish) Mr. Ridley,Russell Wilson,NYG,QB,,,55,288
The Talented(ish) Mr. Ridley,Isaiah Likely,Bal,TE,14.0,10.0,212,242
The Talented(ish) Mr. Ridley,Isaiah Davis,NYJ,RB,,,346,297
The Talented(ish) Mr. Ridley,Jaylen Wright,Mia,RB,11.0,1.0,404,189
The Talented(ish) Mr. Ridley,Justin Fields,NYJ,QB,13.0,5.0,159,102
The Talented(ish) Mr. Ridley,Jake Bates,Det,K,,,114,196
The Talented(ish) Mr. Ridley,New York,NYJ,DEF,10.0,10.0,122,194
Greg & Gus Drive the Bus,Lamar Jackson,Bal,QB,3.0,4.0,1,26
Greg & Gus Drive the Bus,Jameson Williams,Det,WR,7.0,4.0,78,57
Greg & Gus Drive the Bus,Zay Flowers,Bal,WR,4.0,11.0,92,52
Greg & Gus Drive the Bus,Josh Jacobs,GB,RB,2.0,11.0,23,15
Greg & Gus Drive the Bus,Bijan Robinson,Atl,RB,1.0,4.0,18,2
Greg & Gus Drive the Bus,Jonnu Smith,Pit,TE,,,83,160
Greg & Gus Drive the Bus,David Njoku,Cle,TE,6.0,11.0,179,97
Greg & Gus Drive the Bus,Matthew Stafford,LAR,QB,10.0,11.0,29,151
Greg & Gus Drive the Bus,Christian Watson,GB,WR,5.0,4.0,236,316
Greg & Gus Drive the Bus,Xavier Legette,Car,WR,14.0,11.0,217,170
Greg & Gus Drive the Bus,Jaleel McLaughlin,Den,RB,9.0,14.0,252,283
