Round,Orig Pick Owner,Owned By
9,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
9,Yard Sale…”Everything Must Go”,Yard Sale…”Everything Must Go”
10,All Aboard the Achane,All Aboard the Achane
10,Pukachu,All Aboard the Achane
10,Couch Potatoes,Couch Potatoes
10,Love Thy Nabers,Couch Potatoes
10,Greg & Gus Drive the Bus,Greg & Gus Drive the Bus
10,Kirk’s Cousin's,Kirk’s Cousin's
10,Kyrenning Up That Hill,Kyrenning Up That Hill
10,Let's Ride,Let's Ride
10,The Talented(ish) Mr. Ridley,Love Thy Nabers
10,Purdy Fly For A Najee Warrior,Purdy Fly For A Najee Warrior
10,The Hoodie,The Hoodie
10,The Mostert Mash,The Mostert Mash
10,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
10,Yard Sale…”Everything Must Go”,Yard Sale…”Everything Must Go”
11,All Aboard the Achane,All Aboard the Achane
11,Couch Potatoes,Couch Potatoes
11,Greg & Gus Drive the Bus,Greg & Gus Drive the Bus
11,Kirk’s Cousin's,Kirk’s Cousin's
11,Kyrenning Up That Hill,Kyrenning Up That Hill
11,Let's Ride,Let's Ride
11,Love Thy Nabers,Love Thy Nabers
11,Pukachu,Pukachu
11,Purdy Fly For A Najee Warrior,Purdy Fly For A Najee Warrior
11,The Hoodie,The Hoodie
11,The Mostert Mash,The Mostert Mash
11,The Talented(ish) Mr. Ridley,The Talented(ish) Mr. Ridley
11,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
11,Yard Sale…”Everything Must Go”,Yard Sale…”Everything Must Go”
12,All Aboard the Achane,All Aboard the Achane
12,Couch Potatoes,Couch Potatoes
12,Greg & Gus Drive the Bus,Greg & Gus Drive the Bus
12,Kirk’s Cousin's,Kirk’s Cousin's
12,Kyrenning Up That Hill,Kyrenning Up That Hill
12,Pukachu,Kyrenning Up That Hill
12,Love Thy Nabers,Love Thy Nabers
12,Purdy Fly For A Najee Warrior,Purdy Fly For A Najee Warrior
12,The Talented(ish) Mr. Ridley,The Hoodie
12,Let's Ride,The Hoodie
12,The Hoodie,The Hoodie
12,The Mostert Mash,The Mostert Mash
12,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
12,Yard Sale…”Everything Must Go”,Yard Sale…”Everything Must Go”
13,All Aboard the Achane,All Aboard the Achane
13,Kirk’s Cousin's,All Aboard the Achane
13,Greg & Gus Drive the Bus,Greg & Gus Drive the Bus
13,Kyrenning Up That Hill,Kyrenning Up That Hill
13,Pukachu,Kyrenning Up That Hill
13,Let's Ride,Let's Ride
13,Love Thy Nabers,Love Thy Nabers
13,Purdy Fly For A Najee Warrior,Purdy Fly For A Najee Warrior
13,Couch Potatoes,The Hoodie
13,The Hoodie,The Hoodie
13,The Mostert Mash,The Mostert Mash
13,The Talented(ish) Mr. Ridley,Wherefore Art Thou Ws?
13,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
13,Yard Sale…”Everything Must Go”,Yard Sale…”Everything Must Go”
14,All Aboard the Achane,All Aboard the Achane
14,Couch Potatoes,Couch Potatoes
14,Greg & Gus Drive the Bus,Greg & Gus Drive the Bus
14,Kirk’s Cousin's,Kirk’s Cousin's
14,Kyrenning Up That Hill,Kyrenning Up That Hill
14,Let's Ride,Let's Ride
14,Love Thy Nabers,Love Thy Nabers
14,Pukachu,Pukachu
14,Purdy Fly For A Najee Warrior,Purdy Fly For A Najee Warrior
14,The Hoodie,The Hoodie
14,The Mostert Mash,The Mostert Mash
14,The Talented(ish) Mr. Ridley,The Talented(ish) Mr. Ridley
14,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
14,Yard Sale…”Everything Must Go”,Yard Sale…”Everything Must Go”
15,Couch Potatoes,Couch Potatoes
15,Greg & Gus Drive the Bus,Greg & Gus Drive the Bus
15,Kirk’s Cousin's,Kirk’s Cousin's
15,All Aboard the Achane,Kyrenning Up That Hill
15,Kyrenning Up That Hill,Kyrenning Up That Hill
15,Let's Ride,Let's Ride
15,Yard Sale…”Everything Must Go”,Let's Ride
15,The Talented(ish) Mr. Ridley,Love Thy Nabers
15,Love Thy Nabers,Love Thy Nabers
15,Pukachu,Pukachu
15,Purdy Fly For A Najee Warrior,Purdy Fly For A Najee Warrior
15,The Hoodie,The Hoodie
15,The Mostert Mash,The Mostert Mash
15,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
